Question_ID,Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Exam_Type,Estimated_Duration_Mins,Student_Avg_Score,Pass_Rate,Difficulty_Level
QID_13455,Synthesize Relativity under extreme constraints.,Physics,Relativity,Evaluate,Quiz,11,2.4,49.0,Medium
QID_18063,State Networking briefly.,Computer Science,Networking,Remember,Final,5,4.4,87.9,Easy
QID_21615,Outline Mechanics for a specific case.,Physics,Mechanics,Apply,Midterm,14,3.5,70.0,Medium
QID_12677,State Database,Computer Science,Database,Remember,Quiz,17,4.6,91.7,Easy
QID_16794,Name Probability as defined in the textbook.,Mathematics,Probability,Remember,Midterm,9,4.3,86.5,Easy
QID_12742,Define Statistics briefly.,Mathematics,Statistics,Remember,Final,19,4.3,86.3,Easy
QID_21930,What is Data Structures in simple terms.,Computer Science,Data Structures,Remember,Quiz,5,4.4,87.7,Easy
QID_14382,Outline Statistics for a specific case.,Mathematics,Statistics,Apply,Midterm,11,3.3,66.9,Medium
QID_18099,Outline Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,Quiz,29,2.9,58.6,Medium
QID_10293,Describe Relativity in a standard system.,Physics,Relativity,Apply,Midterm,27,3.0,59.3,Medium
QID_10749,Critically analyze Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,Midterm,23,1.5,30.7,Hard
QID_21482,Name Database,Computer Science,Database,Remember,Final,6,4.5,89.5,Easy
QID_19517,State Optics,Physics,Optics,Remember,Final,13,4.4,88.0,Easy
QID_21846,Synthesize Networking under extreme constraints.,Computer Science,Networking,Evaluate,Midterm,10,2.3,46.0,Medium
QID_13954,Synthesize Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,Quiz,17,2.0,40.7,Hard
QID_12254,Describe Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,Final,18,3.3,66.5,Medium
QID_16253,Outline Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,Final,29,2.9,58.4,Medium
QID_12452,Explain how Networking for a specific case.,Computer Science,Networking,Apply,Midterm,17,2.8,55.0,Medium
QID_20024,Name Quantum Physics,Physics,Quantum Physics,Remember,Midterm,24,4.0,80.3,Easy
QID_14498,Hypothesize Probability considering edge cases.,Mathematics,Probability,Evaluate,Quiz,27,1.7,33.9,Hard
QID_20221,Identify Networking as defined in the textbook.,Computer Science,Networking,Remember,Final,14,4.2,84.8,Easy
QID_20642,Synthesize Networking in distributed latency environments.,Computer Science,Networking,Evaluate,Midterm,22,2.0,40.6,Hard
QID_12973,Hypothesize Probability under extreme constraints.,Mathematics,Probability,Evaluate,Final,28,1.9,38.7,Hard
QID_15709,Evaluate the limitations of Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,Quiz,25,2.5,50.5,Medium
QID_13837,Derive the formula for Relativity under extreme constraints.,Physics,Relativity,Evaluate,Final,30,2.0,40.5,Hard
QID_21644,Describe Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,Midterm,15,2.9,57.4,Medium
QID_12319,,Mathematics,Linear Algebra,Evaluate,Quiz,25,2.6,53.0,Medium
QID_15553,Describe Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,Quiz,5,3.0,59.1,Medium
QID_12390,Define Geometry,Mathematics,Geometry,Remember,Final,23,4.2,84.3,Easy
QID_13210,Outline Mechanics for a specific case.,Physics,Mechanics,Apply,Quiz,11,3.1,62.0,Medium
QID_13463,List Thermodynamics briefly.,Physics,Thermodynamics,Remember,Final,17,4.5,90.0,Easy
QID_20291,Compare Thermodynamics using an example.,Physics,Thermodynamics,Apply,Final,28,3.4,67.7,Medium
QID_17118,List Database briefly.,Computer Science,Database,Remember,Midterm,18,4.2,83.4,Easy
