Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
Outline Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,63.2,Medium
Define Mechanics according to basic principles?,Physics,Mechanics,Remember,90.3,Easy
Outline Optics in a standard system.,Physics,Optics,Apply,63.4,Medium
Describe Networking in a standard system.,Computer Science,Networking,Apply,53.7,Medium
Derive the formula for Probability considering edge cases.,Mathematics,Probability,Evaluate,17.3,Hard
Compare Networking in practice.,Computer Science,Networking,Apply,58.4,Medium
What is Statistics,Mathematics,Statistics,Remember,95.7,Easy
Hypothesize Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,37.0,Hard
Evaluate the limitations of Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,34.8,Hard
Outline Database in a standard system.,Computer Science,Database,Apply,72.4,Medium
Outline Calculus using an example.,Mathematics,Calculus,Apply,66.4,Medium
Differentiate between Data Structures for a specific case.,Computer Science,Data Structures,Apply,64.6,Medium
Explain how Mechanics using an example.,Physics,Mechanics,Apply,50.4,Medium
Hypothesize Database considering edge cases.,Computer Science,Database,Evaluate,28.6,Hard
List Database in simple terms?,Computer Science,Database,Remember,84.5,Easy
Describe Networking diagrammatically.,Computer Science,Networking,Apply,70.6,Medium
Define Mechanics,Physics,Mechanics,Remember,90.4,Easy
Outline Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,70.4,Medium
Derive the formula for AI in distributed latency environments.,Computer Science,AI,Evaluate,26.9,Hard
What is Data Structures briefly?,Computer Science,Data Structures,Remember,76.6,Easy
Calculate Mechanics in practice.,Physics,Mechanics,Apply,72.9,Medium
Evaluate the limitations of Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,39.4,Hard
Critically analyze AI in distributed latency environments.,Computer Science,AI,Evaluate,28.0,Hard
Which of these is Geometry briefly?,Mathematics,Geometry,Remember,100.0,Easy
Hypothesize Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,37.4,Hard
